date,product,category,price,current_stock,sold,revenue,weather,festival,location,restock_added
2025-09-03,T-Shirt,Casual,631,39,0,0,Cold,None,Dhaka,0
2025-06-09,T-Shirt,Casual,624,35,4,2496,Humid,None,Chattogram,0
2025-09-17,Saree,Traditional,3300,48,0,0,Rainy,None,Sylhet,0
2025-09-26,Saree,Traditional,3339,39,9,30051,Cold,None,Sylhet,0
2025-02-27,Panjabi,Ethnic,1737,20,7,12159,Cold,None,Dhaka,0
2025-11-10,Jeans,Denim,2598,22,1,2598,Sunny,None,Dhaka,0
2025-02-24,Hoodie,Winter,2315,38,8,18520,Rainy,None,Dhaka,0
2025-08-02,Jeans,Denim,2600,21,1,2600,Rainy,None,Sylhet,0
2025-03-03,Hoodie,Winter,2344,35,3,7032,Sunny,None,Dhaka,0
2025-10-04,Hoodie,Winter,2188,34,1,2188,Cold,None,Sylhet,0
2025-04-24,T-Shirt,Casual,620,31,4,2480,Rainy,Eid,Sylhet,0
2025-04-24,Panjabi,Ethnic,1862,20,0,0,Sunny,None,Chattogram,0
2025-08-17,Panjabi,Ethnic,1832,10,10,18320,Sunny,None,Dhaka,0
2025-07-01,Shirt,Formal,1359,14,5,6795,Rainy,None,Dhaka,0
2025-06-08,Saree,Traditional,3128,31,8,25024,Humid,None,Dhaka,0
2025-11-06,Saree,Traditional,3420,31,0,0,Cold,None,Sylhet,0
2025-04-26,T-Shirt,Casual,697,30,1,697,Humid,Eid,Sylhet,0
2025-04-13,Shirt,Formal,1302,31,12,15624,Sunny,Eid,Dhaka,29
2025-02-16,T-Shirt,Casual,698,29,1,698,Sunny,None,Chattogram,0
2025-01-15,Hoodie,Winter,2427,32,2,4854,Sunny,None,Sylhet,0
2025-10-26,Jeans,Denim,2441,21,0,0,Sunny,None,Chattogram,0
2025-04-01,Panjabi,Ethnic,1730,44,4,6920,Sunny,None,Sylhet,38
2025-01-14,T-Shirt,Casual,946,26,3,2838,Sunny,None,Dhaka,0
2025-10-08,Hoodie,Winter,2254,30,2,4508,Sunny,None,Dhaka,0
2025-09-07,Hoodie,Winter,2234,30,0,0,Rainy,None,Chattogram,0
2025-04-16,Saree,Traditional,3200,30,1,3200,Sunny,None,Sylhet,0
2025-10-12,Saree,Traditional,3214,29,1,3214,Sunny,None,Sylhet,0
2025-07-05,Saree,Traditional,3148,28,1,3148,Sunny,None,Chattogram,0
2025-11-20,Saree,Traditional,3254,27,1,3254,Rainy,None,Dhaka,0
2025-11-05,Shirt,Formal,1541,26,5,7705,Rainy,None,Dhaka,0
2025-08-14,Saree,Traditional,3359,25,2,6718,Humid,None,Chattogram,0
2025-06-03,Jeans,Denim,2571,21,0,0,Rainy,None,Sylhet,0
2025-12-01,Hoodie,Winter,2248,25,5,11240,Sunny,None,Sylhet,0
2025-07-08,Hoodie,Winter,2351,25,0,0,Rainy,None,Dhaka,0
2025-05-09,T-Shirt,Casual,669,21,5,3345,Rainy,None,Sylhet,0
2025-01-19,Hoodie,Winter,2444,19,6,14664,Humid,None,Chattogram,0
2025-07-02,Saree,Traditional,3271,21,4,13084,Cold,None,Dhaka,0
2025-07-10,Shirt,Formal,1513,17,9,13617,Humid,None,Sylhet,0
2025-08-20,Shirt,Formal,1576,16,1,1576,Rainy,None,Chattogram,0
2025-01-06,Jeans,Denim,2489,21,0,0,Humid,None,Chattogram,0
2025-06-10,Jeans,Denim,2357,18,3,7071,Humid,None,Dhaka,0
2025-10-17,Panjabi,Ethnic,1824,39,5,9120,Sunny,None,Dhaka,0
2025-10-10,T-Shirt,Casual,711,17,4,2844,Sunny,None,Dhaka,0
2025-06-18,Jeans,Denim,2468,17,1,2468,Humid,None,Dhaka,0
2025-05-21,Panjabi,Ethnic,1849,32,7,12943,Cold,None,Sylhet,0
2025-12-26,Saree,Traditional,3374,11,10,33740,Humid,None,Chattogram,0
2025-07-31,Saree,Traditional,3252,51,9,29268,Humid,None,Dhaka,49
2025-03-07,Shirt,Formal,1346,16,0,0,Sunny,None,Chattogram,0
2025-02-06,Shirt,Formal,1563,11,5,7815,Cold,None,Chattogram,0
2025-07-27,Saree,Traditional,3149,49,2,6298,Cold,None,Dhaka,0
2025-06-09,Panjabi,Ethnic,1876,26,6,11256,Rainy,None,Sylhet,0
2025-03-22,Hoodie,Winter,2125,17,2,4250,Rainy,Ramadan,Chattogram,0
2025-04-04,Jeans,Denim,2340,15,2,4680,Rainy,Ramadan,Sylhet,0
2025-11-14,Saree,Traditional,3117,47,2,6234,Sunny,None,Chattogram,0
2025-10-08,Jeans,Denim,2342,14,1,2342,Humid,None,Dhaka,0
2025-02-28,T-Shirt,Casual,772,16,1,772,Humid,None,Dhaka,0
2025-10-14,Hoodie,Winter,2401,17,0,0,Rainy,None,Sylhet,0
2025-06-01,Saree,Traditional,3395,40,7,23765,Rainy,None,Chattogram,0
2025-10-10,Jeans,Denim,2440,14,0,0,Rainy,None,Sylhet,0
2025-12-01,Jeans,Denim,2595,13,1,2595,Rainy,None,Sylhet,0
2025-04-10,T-Shirt,Casual,673,12,4,2692,Rainy,Eid,Sylhet,0
2025-07-04,Panjabi,Ethnic,1654,23,3,4962,Cold,None,Sylhet,0
2025-05-26,Panjabi,Ethnic,1999,21,2,3998,Sunny,None,Chattogram,0
2025-04-25,Saree,Traditional,3368,35,5,16840,Humid,None,Dhaka,0
2025-12-04,Hoodie,Winter,2223,10,7,15561,Sunny,None,Sylhet,0
2025-04-25,Saree,Traditional,3339,14,21,70119,Cold,Eid,Dhaka,0
2025-09-08,Saree,Traditional,3385,38,9,30465,Humid,None,Dhaka,33
2025-05-05,Hoodie,Winter,2164,49,2,4328,Humid,None,Chattogram,41
2025-10-05,Saree,Traditional,3268,35,3,9804,Rainy,None,Sylhet,0
2025-07-11,Jeans,Denim,2454,10,3,7362,Humid,None,Chattogram,0
2025-10-26,Saree,Traditional,3439,29,6,20634,Sunny,None,Chattogram,0
2025-04-27,Panjabi,Ethnic,1879,20,1,1879,Rainy,None,Dhaka,0
2025-08-22,Hoodie,Winter,2182,45,4,8728,Cold,None,Dhaka,0
2025-12-20,Jeans,Denim,2449,10,0,0,Rainy,None,Sylhet,0
2025-05-13,Panjabi,Ethnic,1711,41,20,34220,Humid,Eid,Sylhet,41
2025-02-16,Hoodie,Winter,2153,37,8,17224,Rainy,None,Dhaka,0
2025-07-02,Shirt,Formal,1508,59,2,3016,Humid,None,Dhaka,50
2025-02-18,Shirt,Formal,1344,58,1,1344,Humid,None,Chattogram,0
2025-07-07,Hoodie,Winter,2327,36,1,2327,Rainy,None,Chattogram,0
2025-07-21,Jeans,Denim,2433,10,0,0,Humid,None,Chattogram,0
2025-12-02,Jeans,Denim,2626,56,3,7878,Rainy,None,Chattogram,49
2025-06-17,Jeans,Denim,2554,56,0,0,Cold,None,Dhaka,0
2025-01-19,Hoodie,Winter,2068,35,1,2068,Cold,None,Sylhet,0
2025-05-05,Shirt,Formal,1579,53,5,7895,Humid,None,Dhaka,0
2025-09-17,Panjabi,Ethnic,1856,36,5,9280,Sunny,None,Sylhet,0
2025-12-10,Jeans,Denim,2462,56,0,0,Sunny,None,Chattogram,0
2025-02-26,T-Shirt,Casual,596,11,1,596,Humid,None,Sylhet,0
2025-11-17,Saree,Traditional,3082,24,5,15410,Sunny,None,Dhaka,0
2025-07-13,Hoodie,Winter,2163,35,0,0,Rainy,None,Dhaka,0
2025-11-08,T-Shirt,Casual,640,48,7,4480,Rainy,None,Dhaka,44
2025-01-03,Hoodie,Winter,2068,34,1,2068,Cold,None,Sylhet,0
2025-01-10,Panjabi,Ethnic,1803,35,1,1803,Sunny,None,Chattogram,0
2025-08-10,Hoodie,Winter,2106,32,2,4212,Rainy,None,Dhaka,0
2025-09-09,Jeans,Denim,2416,53,3,7248,Humid,None,Chattogram,0
2025-07-12,Shirt,Formal,1390,47,6,8340,Cold,None,Dhaka,0
2025-03-24,Panjabi,Ethnic,2002,29,6,12012,Sunny,None,Chattogram,0
2025-10-27,T-Shirt,Casual,787,47,1,787,Humid,None,Chattogram,0
2025-02-03,Jeans,Denim,2550,52,1,2550,Rainy,None,Dhaka,0
2025-02-17,T-Shirt,Casual,711,37,10,7110,Sunny,None,Dhaka,0
2025-03-26,Hoodie,Winter,2174,29,3,6522,Humid,None,Chattogram,0
2025-09-10,Hoodie,Winter,2246,28,1,2246,Rainy,None,Sylhet,0
2025-11-27,T-Shirt,Casual,637,36,1,637,Rainy,None,Dhaka,0
2025-03-12,Panjabi,Ethnic,1742,28,1,1742,Rainy,None,Sylhet,0
2025-03-06,Hoodie,Winter,2360,25,3,7080,Cold,None,Chattogram,0
2025-12-03,Saree,Traditional,3411,18,6,20466,Rainy,None,Sylhet,0
2025-10-18,T-Shirt,Casual,733,26,10,7330,Cold,None,Dhaka,0
2025-04-25,Shirt,Formal,1544,46,1,1544,Rainy,None,Dhaka,0
2025-01-11,Saree,Traditional,3420,15,3,10260,Cold,None,Dhaka,0
2025-04-19,Saree,Traditional,3144,31,11,34584,Cold,Eid,Dhaka,27
2025-08-03,Jeans,Denim,2387,52,0,0,Cold,None,Chattogram,0
2025-09-30,T-Shirt,Casual,875,21,5,4375,Cold,None,Chattogram,0
2025-11-02,Panjabi,Ethnic,1707,25,3,5121,Humid,None,Chattogram,0
2025-01-02,Hoodie,Winter,2160,20,5,10800,Humid,None,Sylhet,0
2025-12-16,Jeans,Denim,2324,51,1,2324,Sunny,None,Chattogram,0
2025-12-05,T-Shirt,Casual,560,15,6,3360,Cold,None,Dhaka,0
2025-01-20,Saree,Traditional,3214,25,6,19284,Sunny,None,Chattogram,0
2025-02-20,Panjabi,Ethnic,1816,19,6,10896,Humid,None,Dhaka,0
2025-11-12,Shirt,Formal,1427,46,0,0,Sunny,None,Dhaka,0
2025-11-23,Jeans,Denim,2568,51,0,0,Rainy,None,Chattogram,0
2025-05-17,Hoodie,Winter,2361,18,2,4722,Rainy,None,Sylhet,0
2025-05-15,Panjabi,Ethnic,1910,49,16,30560,Humid,Eid,Dhaka,46
2025-05-10,Shirt,Formal,1427,44,2,2854,Cold,None,Sylhet,0
2025-08-06,Hoodie,Winter,2448,15,3,7344,Rainy,None,Chattogram,0
2025-11-11,Shirt,Formal,1340,43,1,1340,Cold,None,Sylhet,0
2025-04-09,Panjabi,Ethnic,1860,26,23,42780,Humid,Eid,Dhaka,0
2025-12-26,Panjabi,Ethnic,1880,17,9,16920,Rainy,None,Dhaka,0
2025-06-03,Jeans,Denim,2301,49,2,4602,Rainy,None,Sylhet,0
2025-09-26,Jeans,Denim,2408,49,0,0,Rainy,None,Chattogram,0
2025-04-09,T-Shirt,Casual,836,15,0,0,Sunny,Eid,Sylhet,0
2025-02-04,Shirt,Formal,1294,39,4,5176,Rainy,None,Dhaka,0
2025-03-07,T-Shirt,Casual,666,14,1,666,Rainy,Ramadan,Sylhet,0
2025-06-06,Jeans,Denim,2447,47,2,4894,Cold,None,Chattogram,0
2025-08-03,Jeans,Denim,2341,46,1,2341,Rainy,None,Chattogram,0
2025-07-16,Saree,Traditional,3390,23,2,6780,Cold,None,Dhaka,0
2025-12-11,Hoodie,Winter,2384,27,11,26224,Cold,None,Sylhet,23
2025-05-02,T-Shirt,Casual,748,13,1,748,Rainy,None,Chattogram,0
2025-07-16,Panjabi,Ethnic,2006,17,0,0,Sunny,None,Chattogram,0
2025-06-26,Shirt,Formal,1375,32,7,9625,Humid,None,Dhaka,0
2025-12-17,Hoodie,Winter,2080,19,8,16640,Sunny,None,Sylhet,0
2025-06-24,Shirt,Formal,1353,30,2,2706,Rainy,None,Sylhet,0
2025-05-18,Shirt,Formal,1286,26,4,5144,Humid,None,Sylhet,0
2025-11-27,Saree,Traditional,3444,11,12,41328,Sunny,None,Sylhet,0
2025-03-02,Hoodie,Winter,2396,17,2,4792,Rainy,Ramadan,Dhaka,0
2025-12-07,Jeans,Denim,2592,46,0,0,Humid,None,Chattogram,0
2025-08-20,Jeans,Denim,2564,46,0,0,Cold,None,Dhaka,0
2025-10-09,Shirt,Formal,1464,24,2,2928,Cold,None,Chattogram,0
2025-10-11,Hoodie,Winter,2360,17,0,0,Cold,None,Sylhet,0
2025-01-04,Panjabi,Ethnic,1701,17,0,0,Rainy,None,Sylhet,0
2025-02-09,Hoodie,Winter,2147,15,2,4294,Sunny,None,Dhaka,0
2025-06-30,T-Shirt,Casual,810,12,1,810,Humid,None,Chattogram,0
2025-04-10,Shirt,Formal,1484,13,11,16324,Sunny,Eid,Sylhet,0
2025-04-14,Shirt,Formal,1477,13,0,0,Sunny,Pohela Boishakh,Chattogram,0
2025-08-25,Shirt,Formal,1436,13,0,0,Cold,None,Dhaka,0
2025-12-09,T-Shirt,Casual,847,31,6,5082,Cold,None,Sylhet,25
2025-07-05,Hoodie,Winter,2132,15,0,0,Humid,None,Sylhet,0
2025-04-09,Shirt,Formal,1476,10,3,4428,Rainy,Eid,Chattogram,0
2025-09-04,T-Shirt,Casual,891,25,6,5346,Sunny,None,Sylhet,0
2025-11-10,T-Shirt,Casual,797,24,1,797,Humid,None,Chattogram,0
2025-05-07,T-Shirt,Casual,704,24,0,0,Humid,None,Chattogram,0
2025-10-15,Jeans,Denim,2625,46,0,0,Rainy,None,Chattogram,0
2025-12-21,Panjabi,Ethnic,1858,40,10,18580,Sunny,None,Chattogram,33
2025-03-16,Shirt,Formal,1491,54,2,2982,Humid,None,Chattogram,46
2025-02-18,Saree,Traditional,3188,39,9,28692,Cold,None,Dhaka,37
2025-02-24,Hoodie,Winter,2367,56,8,18936,Cold,None,Chattogram,49
2025-03-27,Shirt,Formal,1381,50,4,5524,Cold,Ramadan,Chattogram,0
2025-04-15,Jeans,Denim,2384,43,3,7152,Humid,Ramadan,Sylhet,0
2025-12-18,T-Shirt,Casual,758,16,8,6064,Cold,None,Chattogram,0
2025-11-05,T-Shirt,Casual,746,16,0,0,Cold,None,Dhaka,0
2025-03-11,Panjabi,Ethnic,1710,39,1,1710,Sunny,None,Dhaka,0
2025-11-24,Hoodie,Winter,2101,54,2,4202,Humid,None,Dhaka,0
2025-11-13,Jeans,Denim,2631,43,0,0,Cold,None,Chattogram,0
2025-05-10,Shirt,Formal,1443,45,5,7215,Sunny,Eid,Dhaka,0
2025-02-10,Shirt,Formal,1409,40,5,7045,Rainy,None,Sylhet,0
2025-07-15,Hoodie,Winter,2343,51,3,7029,Cold,None,Chattogram,0
2025-07-04,Hoodie,Winter,2163,48,3,6489,Sunny,None,Dhaka,0
2025-02-19,Shirt,Formal,1342,37,3,4026,Humid,None,Chattogram,0
2025-07-07,Shirt,Formal,1643,36,1,1643,Cold,None,Dhaka,0
2025-05-20,Jeans,Denim,2601,43,0,0,Humid,Eid,Chattogram,0
2025-02-17,Saree,Traditional,3074,36,3,9222,Cold,None,Chattogram,0
2025-08-31,Shirt,Formal,1296,35,1,1296,Humid,None,Sylhet,0
2025-04-06,Panjabi,Ethnic,1722,35,4,6888,Sunny,Ramadan,Dhaka,0
2025-05-05,Panjabi,Ethnic,1779,31,4,7116,Sunny,None,Sylhet,0
2025-05-10,Shirt,Formal,1279,34,1,1279,Humid,None,Chattogram,0
2025-01-25,T-Shirt,Casual,924,11,5,4620,Sunny,None,Chattogram,0
2025-10-10,Panjabi,Ethnic,1663,30,1,1663,Cold,None,Sylhet,0
2025-12-22,Jeans,Denim,2297,43,0,0,Humid,None,Chattogram,0
2025-12-26,Shirt,Formal,1512,29,5,7560,Sunny,None,Sylhet,0
2025-05-24,Shirt,Formal,1345,26,3,4035,Rainy,None,Sylhet,0
2025-03-23,Jeans,Denim,2591,43,0,0,Cold,None,Sylhet,0
2025-06-17,Shirt,Formal,1371,21,5,6855,Sunny,None,Dhaka,0
2025-02-25,Panjabi,Ethnic,1696,27,3,5088,Rainy,None,Sylhet,0
2025-11-14,Hoodie,Winter,2111,45,3,6333,Rainy,None,Chattogram,0
2025-01-12,T-Shirt,Casual,632,42,2,1264,Sunny,None,Chattogram,33
2025-07-11,Shirt,Formal,1605,14,7,11235,Cold,None,Dhaka,0
2025-11-01,T-Shirt,Casual,841,40,2,1682,Humid,None,Dhaka,0
2025-07-31,T-Shirt,Casual,633,34,6,3798,Humid,None,Sylhet,0
2025-02-20,Shirt,Formal,1356,12,2,2712,Humid,None,Sylhet,0
2025-11-04,Hoodie,Winter,2305,39,6,13830,Humid,None,Dhaka,0
2025-01-07,Shirt,Formal,1476,48,4,5904,Cold,None,Chattogram,40
2025-01-13,Shirt,Formal,1552,48,0,0,Sunny,None,Dhaka,0
2025-03-07,Shirt,Formal,1376,47,1,1376,Cold,None,Chattogram,0
2025-08-19,Hoodie,Winter,2361,39,0,0,Humid,None,Dhaka,0
2025-02-06,T-Shirt,Casual,637,34,0,0,Rainy,None,Dhaka,0
2025-10-05,Panjabi,Ethnic,1676,22,5,8380,Sunny,None,Chattogram,0
2025-06-17,Panjabi,Ethnic,1789,17,5,8945,Humid,None,Chattogram,0
2025-05-02,Shirt,Formal,1516,46,1,1516,Cold,None,Dhaka,0
2025-12-15,Shirt,Formal,1450,45,1,1450,Cold,None,Sylhet,0
2025-02-17,Saree,Traditional,3410,36,0,0,Humid,None,Dhaka,0
2025-07-06,Shirt,Formal,1411,40,5,7055,Humid,None,Sylhet,0
2025-12-01,T-Shirt,Casual,815,32,2,1630,Humid,None,Dhaka,0
2025-12-12,Shirt,Formal,1504,39,1,1504,Rainy,None,Chattogram,0
2025-02-15,Shirt,Formal,1303,35,4,5212,Humid,None,Dhaka,0
2025-11-23,Hoodie,Winter,2448,37,2,4896,Sunny,None,Chattogram,0
2025-07-23,Jeans,Denim,2585,41,2,5170,Sunny,None,Sylhet,0
2025-06-24,Jeans,Denim,2480,40,1,2480,Sunny,None,Dhaka,0
2025-10-25,Panjabi,Ethnic,1907,14,3,5721,Rainy,None,Chattogram,0
2025-03-27,Panjabi,Ethnic,1889,53,6,11334,Humid,Ramadan,Chattogram,45
2025-07-25,Jeans,Denim,2513,38,2,5026,Humid,None,Chattogram,0
2025-11-14,Shirt,Formal,1405,28,7,9835,Cold,None,Sylhet,0
2025-09-26,Panjabi,Ethnic,1798,47,6,10788,Sunny,None,Chattogram,0
2025-09-15,Jeans,Denim,2404,35,3,7212,Sunny,None,Chattogram,0
2025-09-01,Hoodie,Winter,2174,35,2,4348,Rainy,None,Sylhet,0
2025-03-01,T-Shirt,Casual,713,26,6,4278,Humid,None,Sylhet,0
2025-04-04,Saree,Traditional,3128,25,11,34408,Rainy,Eid,Dhaka,0
2025-10-11,T-Shirt,Casual,828,24,2,1656,Rainy,None,Dhaka,0
2025-01-06,Shirt,Formal,1627,24,4,6508,Humid,None,Dhaka,0
2025-03-23,T-Shirt,Casual,857,20,4,3428,Sunny,Ramadan,Chattogram,0
2025-10-21,T-Shirt,Casual,829,15,5,4145,Cold,None,Sylhet,0
2025-07-15,Panjabi,Ethnic,1748,41,6,10488,Cold,None,Dhaka,0
2025-05-14,Panjabi,Ethnic,2045,40,1,2045,Humid,None,Chattogram,0
2025-07-15,Saree,Traditional,3277,25,0,0,Cold,None,Dhaka,0
2025-06-01,Saree,Traditional,3307,17,8,26456,Humid,None,Sylhet,0
2025-05-22,Shirt,Formal,1416,22,2,2832,Cold,None,Chattogram,0
2025-10-17,Saree,Traditional,3227,15,2,6454,Rainy,None,Dhaka,0
2025-07-07,Saree,Traditional,3307,41,6,19842,Sunny,None,Dhaka,32
2025-08-15,Hoodie,Winter,2248,32,3,6744,Sunny,None,Sylhet,0
2025-04-10,Shirt,Formal,1351,20,2,2702,Cold,Ramadan,Sylhet,0
2025-02-21,Jeans,Denim,2329,35,0,0,Cold,None,Dhaka,0
2025-07-08,Panjabi,Ethnic,1975,37,3,5925,Humid,None,Sylhet,0
2025-03-07,Hoodie,Winter,2388,30,2,4776,Sunny,None,Dhaka,0
2025-04-02,Saree,Traditional,3341,53,32,106912,Rainy,Eid,Dhaka,44
2025-12-15,T-Shirt,Casual,647,11,4,2588,Cold,None,Sylhet,0
2025-11-20,Shirt,Formal,1323,19,1,1323,Cold,None,Dhaka,0
2025-08-27,Panjabi,Ethnic,1949,34,3,5847,Sunny,None,Chattogram,0
2025-12-10,Jeans,Denim,2262,35,0,0,Humid,None,Chattogram,0
2025-10-06,Saree,Traditional,3274,47,6,19644,Humid,None,Chattogram,0
2025-02-08,Shirt,Formal,1478,12,7,10346,Humid,None,Sylhet,0
2025-05-04,T-Shirt,Casual,901,40,5,4505,Cold,Eid,Chattogram,34
2025-06-23,Saree,Traditional,3361,47,0,0,Rainy,None,Dhaka,0
2025-04-26,Shirt,Formal,1391,11,1,1391,Humid,None,Dhaka,0
2025-04-04,Shirt,Formal,1595,42,2,3190,Humid,Eid,Dhaka,33
2025-11-27,Panjabi,Ethnic,1846,31,3,5538,Humid,None,Sylhet,0
2025-04-13,Hoodie,Winter,2426,26,4,9704,Sunny,None,Sylhet,0
2025-02-11,Panjabi,Ethnic,1671,24,7,11697,Humid,None,Sylhet,0
2025-07-01,Shirt,Formal,1605,39,3,4815,Rainy,None,Dhaka,0
